ID	bacteria	spike	group	Group	sample01	sample02	sample03	sample04	sample05	mean
46	Act-101	E05	1:01:01	1	0.718870347	NA	0.641760967	0.638636726	NA	0.66642268
47	Act-135	E05	1:01:01	1	0.240479247	NA	0.216245543	0.242873069	NA	0.233199286
48	Act-140	E05	1:01:01	1	0.611039795	NA	0.603007286	0.523968785	NA	0.579338622
49	Bac-186	E05	1:01:01	1	1.3042362	NA	1.266470315	1.230291448	NA	1.266999321
50	Fir-11	E05	1:01:01	1	1.700470689	NA	1.029297783	1.286032808	NA	1.338600427
51	Pro-1203	E05	1:01:01	1	0.673513051	NA	0.439466749	0.457875458	NA	0.523618419
52	Pro-1204	E05	1:01:01	1	0.678647839	NA	0.409238878	0.529542921	NA	0.539143213
53	Pro-670	E05	1:01:01	1	0.353444587	NA	0.210044954	0.262780698	NA	0.275423413
54	Pro-672	E05	1:01:01	1	0.200256739	NA	0.110835529	0.163242555	NA	0.158111608
55	Act-101	E55	1:01:01	1	0.721801159	NA	0.461856889	0.473789393	NA	0.55248248
56	Act-135	E55	1:01:01	1	0.251448952	NA	0.165878179	0.152805534	NA	0.190044222
57	Act-140	E55	1:01:01	1	0.633080695	NA	0.468953282	0.425826287	NA	0.509286755
58	Bac-186	E55	1:01:01	1	1.369594293	NA	0.948551153	0.877478862	NA	1.065208103
59	Fir-11	E55	1:01:01	1	1.698172091	NA	0.770845653	0.880860876	NA	1.116626207
60	Pro-1203	E55	1:01:01	1	0.651359786	NA	0.301596688	0.382475019	NA	0.445143831
61	Pro-1204	E55	1:01:01	1	0.672759697	NA	0.322590183	0.397847809	NA	0.46439923
62	Pro-670	E55	1:01:01	1	0.351761034	NA	0.158781786	0.212144504	NA	0.240895775
63	Pro-672	E55	1:01:01	1	0.235844851	NA	0.095209935	0.117755573	NA	0.149603453
64	Act-101	E04	1:01:01	1	0.536542413	NA	0.357779041	0.301514875	NA	0.39861211
65	Act-135	E04	1:01:01	1	0.174053419	NA	0.113700966	0.102755977	NA	0.130170121
66	Act-140	E04	1:01:01	1	0.425887878	NA	0.308508622	0.238729695	NA	0.324375398
67	Bac-186	E04	1:01:01	1	0.992662166	NA	0.745309835	0.634969885	NA	0.790980629
68	Fir-11	E04	1:01:01	1	1.166715586	NA	0.486829638	0.571089615	NA	0.741544946
69	Pro-1203	E04	1:01:01	1	0.474024068	NA	0.214705325	0.226866216	NA	0.305198537
70	Pro-1204	E04	1:01:01	1	0.484884062	NA	0.234413493	0.23781712	NA	0.319038225
71	Pro-670	E04	1:01:01	1	0.246844731	NA	0.113700966	0.122832634	NA	0.161126111
72	Pro-672	E04	1:01:01	1	0.150865864	NA	0.074474133	0.07829896	NA	0.101212986
73	Act-101	E0520	1:01:01	1	0.429893568	NA	0.280270348	0.266459075	NA	0.325540997
74	Act-135	E0520	1:01:01	1	0.159416937	NA	0.094334196	0.091043891	NA	0.114931675
75	Act-140	E0520	1:01:01	1	0.352383156	NA	0.28041415	0.231316726	NA	0.288038011
76	Bac-186	E0520	1:01:01	1	0.875057844	NA	0.628702905	0.587188612	NA	0.69698312
77	Fir-11	E0520	1:01:01	1	0.966913466	NA	0.440897325	0.524466192	NA	0.644092328
78	Pro-1203	E0520	1:01:01	1	0.399814901	NA	0.182053494	0.213671412	NA	0.265179936
79	Pro-1204	E0520	1:01:01	1	0.411152244	NA	0.204199022	0.245551601	NA	0.286967623
80	Pro-670	E0520	1:01:01	1	0.220268394	NA	0.099654875	0.119661922	NA	0.146528397
81	Pro-672	E0520	1:01:01	1	0.140906988	NA	0.05881507	0.076215896	NA	0.091979318
91	Act-101	E05	2:02:01	3	1.036929057	0.94941919	1.076216368	1.118350676	0.959073632	1.027997785
92	Act-135	E05	2:02:01	3	0.346938776	0.32836367	0.367488516	0.365652047	0.335012817	0.348691165
93	Act-140	E05	2:02:01	3	0.86686103	0.748193542	0.822161807	0.930662258	0.775214355	0.828618599
94	Bac-186	E05	2:02:01	3	2.068027211	1.949144791	2.095247024	2.235728873	1.915495448	2.052728669
95	Fir-11	E05	2:02:01	3	2.719144801	2.256471234	2.243367395	2.411747544	1.828869442	2.291920083
96	Pro-1203	E05	2:02:01	3	0.559766764	0.506722766	0.490297178	0.570845084	0.422522761	0.510030911
97	Pro-1204	E05	2:02:01	3	0.593780369	0.470136285	0.523108653	0.586404746	0.426058517	0.519897714
98	Pro-670	E05	2:02:01	3	0.31292517	0.236897466	0.314990157	0.339395118	0.243967117	0.289635006
99	Pro-672	E05	2:02:01	3	0.210884354	0.169212476	0.120933721	0.16921132	0.116679926	0.157384359
