ID	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15
OTU_1	18030	25212	24570	24466	28437	30592	27814	24746	29308	28384	31241	22049	29429	25689	25193	26505	29733	19058	30881	30118	33039	43945	26800	38922	20407	27229	24939	28142	19445	21845	17286	18856	14223	22888	19670	15923	23760	21374	24522	19858	21357	23519	22184	18185	32066	22740	26918	26179	17718	24765	19053	27290	21909	21064	26996	22468	29827	20407	19568	13744	15238	22607	24881	27455	26096	18987	24112	23654	17337	20677	22056	19552	17379	17130	14713	18456	26134	23571	22948	21824	21003	21574	20365	18659	14532	18975	21307	24350	22024	23343	23700	25712	23955	22878	23161	25713	17742	17776	23878	28620	22982	21953	24122	20249	64985	22866	23174	16783	23749	20723	24619	22799	17626	15608	23079	11334	19730	15448	14957	15818	28921	16214	19565	11871	19290	13410	17278	12981	16828	26331	25432	25508	27743	27989	29266	27050	31128	22158	25831	25178	26105	27284	19275	31669	18366	22679	20624	14013	23041	15339	22456	15315	19837	26289	25703	27060	30266	29265	28297	22685	13746	14593	25029	10079	17266	19625	27693	19991	14846	16691	13822	26564	19890	29766
OTU_10	568	2429	7082	2356	912	191	1212	17	1606	89	4255	4329	174	7958	974	2268	14	2905	765	3819	1357	3012	1296	323	920	2659	2200	47	70	243	627	198	12185	258	4082	4161	109	438	349	1152	136	3077	420	733	2291	2479	905	300	166	415	96	344	3685	204	62	414	3838	764	8664	467	9522	299	2661	852	1305	104	5385	10544	95	1175	292	61	188	201	2192	430	216	247	1914	927	772	448	797	843	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	21	45	17	8	13	11
OTU_100	4410	100	32	49	93	731	1320	173	1586	171	1193	20	6	22	20	86	19	6	12	67	65	34	117	46	389	56	1	32	52	44	88	40	10	101	15	98	23	68	11	3	186	30	6	14	3	12	10	5	16	6	2	0	11	9	1	0	2	0	0	4	1	11	11	0	0	1	3	6	11	2	80	1	3	11	0	3	1	5	16	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	3	0	0	0	0	14	2	0	0	0	0	0	0	0	3	0	0	1	8	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	95	9	0	0	0	0	0	2	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	3	0	3	0	3	0	0	0	0	1	1	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	5	2	4	2	2	3	1	1	3	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	10	2	6	4	3	8	2	5	5	2	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	1	3	0	1	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	2	1	1	0	1	1	5	5
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	4	5	0	4	2	0	0	6	1	2	3	4	1	1	1	3	1	8	6	4	5	0	1	5	2	6	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	1	5	0	3	4	7	2	2	0	4	2	0	1	4	0	2	0	2	0	2	5	0	1	2	3	1	0	0	0	0	1	0	2	0	2	1	0	0	1	0	1
OTU_1006	1	5	3	2	2	6	2	1	3	2	0	2	0	1	2	2	3	0	2	5	4	3	0	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	1	3	0	1	4	2	0	1	1	1	2	3	0	0	0	0	4	4	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	3	2	0	2	1	4	2	1	1	1	1	2	2	2	1	0	5	2	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	1	2	2	1	2	0	1	2	1	0	0	0	4	0	0	0	1	0	3	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	130	0	0	0	0	10	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	2	3	1	0	0	0	0	4	3	4	2	0	4	5	10	2	7	3	10	8	11	4	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	5	2	8	4	3	8	5	6	9	8	14	5	4	9	8	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	3	1	0	2	0	1	1	1	2	0	1	1	0	0	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	2	0	0	1	0	1	0	4	0	1	3	2	0	0	5	2	2	4	2	6	1	5
OTU_101	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	3	1	5	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	5	3	2	7	103	4	10	9	15	7	1	1	14	18	24	19	10	9	29	7	3	11	9	8	15	10	15	22	1	2	14	9	1	4	5494	20	6	3	40	137	26	23	27	4	11	5	34	5	0	14	14	0	5	6	8	1	6	3	19	8	3	5	4	4	1	3	17	12	0	27	0	11	9	6	3	14	3	1	7	15	12	5	6	2	2	8	6	3
OTU_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	1	0	0	0	8	0	2	0	0	0	0	9	0	0	6	1	15	0	0	89	0	0	0	0	0	3	22	0	1	0	7	0	0	0	0	0	0	1	6
OTU_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	3	1	0	15	3	0	0	0	39	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	1	1	2	3	0	3	0	3	5	0	0	1	0	0	0	0	0	5	5	0	4	3	6	1	1	0	0	2	2	2	1	12	3	1	3	0	1	9	3
OTU_1015	0	2	2	4	3	2	7	1	5	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	3	2	0	4	2	2	5	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	2	3	0	4	2	1	1	1	0	1	1	1	0	4	2	1	1	1	2	1	1	0	0	3	1	5	2	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	4	0	2	5	2	2	3	4	2	0	1	0	4	0	0	1	0	1	0	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
